Brand,Name,SKU,Full Name,Color,Category,Tags,Wholesale Price,Sale Price,Retail Price,Stock,Image1,Image2,Image3,Gallery,Application,Content,Backing,Finish / Topcoat,Weight,Width,Fabric Shown,Origin,Repeat Horizontal,Repeat Vertical,Collection,Abrasion Resistance,Pilling,Seam Slippage,Break Strength,Wet Crocking,Dry Crocking,Colorfastness to Light,Flammability,Product Notes
United Fabrics,SALVADOR,42 Mint Julep,United Fabrics SALVADOR 42 Mint Julep,"Brown upholstery fabric, brown","United Fabrics, SALVADOR, 42 Mint Julep, United Fabrics SALVADOR 42 Mint Julep, Brown upholstery fabric, brown, Upholstery, Indoor, 52% Polyester 48% Cotton, Acrylic, Permanent Soil/Stain Protection, Turkey, 100,000 Double Rubs, ","United Fabrics, SALVADOR, 42 Mint Julep, United Fabrics SALVADOR 42 Mint Julep, Brown upholstery fabric, brown, Upholstery, Indoor, 52% Polyester 48% Cotton, Acrylic, Permanent Soil/Stain Protection, Turkey, 100,000 Double Rubs, ",49.46,98.92,113.76,88 Yards (NJ) 0 Yards (CA),https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-salvador-mint-julep-tweak.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-salvador-dining-nook.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-img-2543.jpg,"https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-salvador-mint-julep-tweak.jpg, https://unitedfabrics.s3.amazonaws.com/files/products/square-med-salvador-dining-nook.jpg, https://unitedfabrics.s3.amazonaws.com/files/products/square-med-img-2543.jpg","Upholstery, Indoor",52% Polyester 48% Cotton,Acrylic,Permanent Soil/Stain Protection,15.2 oz./yd.,"54.000""",Up the Roll,Turkey,"6.900""","22.300""",,"100,000 Double Rubs",Class 5,Warp: 84 lbs / Weft: 77 lbs,Warp: 332 lbs / Weft: 82 lbs,Grade: 4.5,Grade: 4.5,Grade: 4.5,"CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
United Fabrics,EXHALE,Teak 400001-0006,United Fabrics EXHALE Teak 400001-0006,"Brown upholstery fabric, brown","United Fabrics, EXHALE, Teak 400001-0006, United Fabrics EXHALE Teak 400001-0006, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.700% Sunbrella Acrylic 1.300% Sunbrella Polyster, Acrylic, , USA, 15,000 Double Rubs, ","United Fabrics, EXHALE, Teak 400001-0006, United Fabrics EXHALE Teak 400001-0006, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.700% Sunbrella Acrylic 1.300% Sunbrella Polyster, Acrylic, , USA, 15,000 Double Rubs, ",19.09,38.18,43.91,47 Yards (NJ) 0 Yards (CA),https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-exhale-teak-400001-0006.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-exhale-teak-400001-0006.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-exhale-teak-400001-0006.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-exhale-teak-400001-0006.jpg,"Upholstery, Indoor/Outdoor",98.700% Sunbrella Acrylic 1.300% Sunbrella Polyster,Acrylic,,9.6 oz./yd.,"54.000""",Up the Roll,USA,,,,"15,000 Double Rubs",Class 4,Warp: 49 lbs / Weft: 52.6 lbs,Warp: 246.7 lbs / Weft: 291.3 lbs,Grade: 5,Grade: 5,"Hours: 2,200 / Grade: 4","UFAC Class 1 CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
United Fabrics,UNWIND,Driftwood 400005-0001,United Fabrics UNWIND Driftwood 400005-0001,"Brown upholstery fabric, brown","United Fabrics, UNWIND, Driftwood 400005-0001, United Fabrics UNWIND Driftwood 400005-0001, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.700% Sunbrella Acrylic 1.300% Sunbrella Polyester, Acrylic, , USA, 15,000 Double Rubs, ","United Fabrics, UNWIND, Driftwood 400005-0001, United Fabrics UNWIND Driftwood 400005-0001, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.700% Sunbrella Acrylic 1.300% Sunbrella Polyester, Acrylic, , USA, 15,000 Double Rubs, ",20.96,41.92,48.21,47 Yards (NJ) 0 Yards (CA),https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-unwind-driftwood-400005-0001.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-unwind.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-unwind.jpg,"https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-unwind-driftwood-400005-0001.jpg, https://unitedfabrics.s3.amazonaws.com/files/products/square-med-unwind.jpg","Upholstery, Indoor/Outdoor",98.700% Sunbrella Acrylic 1.300% Sunbrella Polyester,Acrylic,,9.6 oz./yd.,"54.000""",Up the Roll,USA,"2.860""",,,"15,000 Double Rubs",Class 4,Warp: 49 lbs / Weft: 52.6 lbs,Warp: 246.7 lbs / Weft: 291.3 lbs,Grade: 5,Grade: 5,"Hours: 2,200 / Grade: 4","UFAC Class 1 CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
United Fabrics,BOARDWALK,18 Cherry Cola,United Fabrics BOARDWALK 18 Cherry Cola,"Brown upholstery fabric, brown","United Fabrics, BOARDWALK, 18 Cherry Cola, United Fabrics BOARDWALK 18 Cherry Cola, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 100% Sunbrella Acrylic, , , USA, 62,500 Double Rubs, 424: Roadtrip Series: Coney Island","United Fabrics, BOARDWALK, 18 Cherry Cola, United Fabrics BOARDWALK 18 Cherry Cola, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 100% Sunbrella Acrylic, , , USA, 62,500 Double Rubs, 424: Roadtrip Series: Coney Island",49.46,98.92,113.76,8 Yards (NJ) 0 Yards (CA),https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-boardwalk-cherr-cola-47198-00010.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-boardwalk-3-current-camera-standard.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-boardwalk-retouch.jpg,"https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-boardwalk-cherr-cola-47198-00010.jpg, https://unitedfabrics.s3.amazonaws.com/files/products/square-med-boardwalk-3-current-camera-standard.jpg, https://unitedfabrics.s3.amazonaws.com/files/products/square-med-boardwalk-retouch.jpg","Upholstery, Indoor/Outdoor",100% Sunbrella Acrylic,,,13.6 oz./yd.,"54.000""",Railroaded,USA,"2.800""","1.630""",424: Roadtrip Series: Coney Island,"62,500 Double Rubs",Class 5,Warp: 61 lbs / Weft: 73 lbs,Warp: 400.833 lbs / Weft: 306.967 lbs,Grade: 4.5,Grade: 5,"Hours: 2,200 / Grade: 4","UFAC Class 1 CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
United Fabrics,BUOY,20 Cape Cod,United Fabrics BUOY 20 Cape Cod,"Brown upholstery fabric, brown","United Fabrics, BUOY, 20 Cape Cod, United Fabrics BUOY 20 Cape Cod, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 100% Sunbrella Acrylic, , , USA, 45,000 Double Rubs, 424: Roadtrip Series: Coney Island","United Fabrics, BUOY, 20 Cape Cod, United Fabrics BUOY 20 Cape Cod, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 100% Sunbrella Acrylic, , , USA, 45,000 Double Rubs, 424: Roadtrip Series: Coney Island",42.34,84.68,97.38,38 Yards (NJ) 0 Yards (CA),https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-buoy-cape-cod-146641-0001.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-buoy-4-current-camera-standard.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-buoy-4-current-camera-standard.jpg,"https://unitedfabrics.s3.amazonaws.com/files/products/square-xlrg-buoy-cape-cod-146641-0001.jpg, https://unitedfabrics.s3.amazonaws.com/files/products/square-med-buoy-4-current-camera-standard.jpg","Upholstery, Indoor/Outdoor",100% Sunbrella Acrylic,,,13.3 oz./yd.,"54.000""",Railroaded,USA,"5.600""","3.560""",424: Roadtrip Series: Coney Island,"45,000 Double Rubs",Class 3,Warp: 61 lbs / Weft: 64 lbs,Warp: 394.433 lbs / Weft: 351.433 lbs,Grade: 5,Grade: 5,"Hours: 2,200 / Grade: 4","UFAC Class 1 CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
United Fabrics,CHARMER,Desert 42111-0005,United Fabrics CHARMER Desert 42111-0005,"Brown upholstery fabric, brown","United Fabrics, CHARMER, Desert 42111-0005, United Fabrics CHARMER Desert 42111-0005, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.500% Sunbrella Acrylic 1.500% Sunbrella Polyester, Acrylic, , USA, 100,000 Double Rubs, ","United Fabrics, CHARMER, Desert 42111-0005, United Fabrics CHARMER Desert 42111-0005, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.500% Sunbrella Acrylic 1.500% Sunbrella Polyester, Acrylic, , USA, 100,000 Double Rubs, ",28.09,56.18,64.61,28 Yards (NJ) 0 Yards (CA),,https://unitedfabrics.s3.amazonaws.com/files/products/square-sml-cdn-1200-charmer-desert-42111-0005.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-sml-cdn-1200-charmer-desert-42111-0005.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-sml-cdn-1200-charmer-desert-42111-0005.jpg,"Upholstery, Indoor/Outdoor",98.500% Sunbrella Acrylic 1.500% Sunbrella Polyester,Acrylic,,16.4 oz./yd.,"54.000""",Up the Roll,USA,,,,"100,000 Double Rubs",Class 5,Warp: 88.7 lbs / Weft: 89 lbs,Warp: 212.2 lbs / Weft: 274.9 lbs,Grade: 5,Grade: 5,"Hours: 2,200 / Grade: 4","UFAC Class 1 CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
United Fabrics,CHARMER,Wren 42111-0004,United Fabrics CHARMER Wren 42111-0004,"Brown upholstery fabric, brown","United Fabrics, CHARMER, Wren 42111-0004, United Fabrics CHARMER Wren 42111-0004, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.500% Sunbrella Acrylic 1.500% Sunbrella Polyester, Acrylic, , USA, 100,000 Double Rubs, ","United Fabrics, CHARMER, Wren 42111-0004, United Fabrics CHARMER Wren 42111-0004, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.500% Sunbrella Acrylic 1.500% Sunbrella Polyester, Acrylic, , USA, 100,000 Double Rubs, ",28.09,56.18,64.61,31 Yards (NJ) 0 Yards (CA),,https://unitedfabrics.s3.amazonaws.com/files/products/square-sml-cdn-1200-charmer-wren-42111-0004.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-sml-cdn-1200-charmer-wren-42111-0004.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-sml-cdn-1200-charmer-wren-42111-0004.jpg,"Upholstery, Indoor/Outdoor",98.500% Sunbrella Acrylic 1.500% Sunbrella Polyester,Acrylic,,16.4 oz./yd.,"54.000""",Up the Roll,USA,,,,"100,000 Double Rubs",Class 5,Warp: 88.7 lbs / Weft: 89 lbs,Warp: 212.2 lbs / Weft: 274.9 lbs,Grade: 5,Grade: 5,"Hours: 2,200 / Grade: 4","UFAC Class 1 CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
United Fabrics,PLAY,Mocha 40616-0004,United Fabrics PLAY Mocha 40616-0004,"Brown upholstery fabric, brown","United Fabrics, PLAY, Mocha 40616-0004, United Fabrics PLAY Mocha 40616-0004, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.400% Sunbrella Acrylic 1.600% Sunbrella Polyester, , , USA, 90,000 Double Rubs, ","United Fabrics, PLAY, Mocha 40616-0004, United Fabrics PLAY Mocha 40616-0004, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.400% Sunbrella Acrylic 1.600% Sunbrella Polyester, , , USA, 90,000 Double Rubs, ",14.96,29.92,34.41,47 Yards (NJ) 0 Yards (CA),,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-play2-current-camera.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-play2-current-camera.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-play2-current-camera.jpg,"Upholstery, Indoor/Outdoor",98.400% Sunbrella Acrylic 1.600% Sunbrella Polyester,,,11.7 oz./yd.,"54.000""",Up the Roll,USA,,,,"90,000 Double Rubs",Class 5,Warp: 62.8 lbs / Weft: 38.4 lbs,Warp: 212.9 lbs / Weft: 250.2 lbs,Grade: 4.5,Grade: 5,"Hours: 2,200 / Grade: 4","UFAC Class 1 CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
United Fabrics,PLAY,Mushroom 40616-0005,United Fabrics PLAY Mushroom 40616-0005,"Brown upholstery fabric, brown","United Fabrics, PLAY, Mushroom 40616-0005, United Fabrics PLAY Mushroom 40616-0005, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.400% Sunbrella Acrylic 1.600% Sunbrella Polyester, , , USA, 90,000 Double Rubs, ","United Fabrics, PLAY, Mushroom 40616-0005, United Fabrics PLAY Mushroom 40616-0005, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.400% Sunbrella Acrylic 1.600% Sunbrella Polyester, , , USA, 90,000 Double Rubs, ",14.96,29.92,34.41,46 Yards (NJ) 0 Yards (CA),,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-play2-current-camera.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-play2-current-camera.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-play2-current-camera.jpg,"Upholstery, Indoor/Outdoor",98.400% Sunbrella Acrylic 1.600% Sunbrella Polyester,,,11.7 oz./yd.,"54.000""",Up the Roll,USA,,,,"90,000 Double Rubs",Class 5,Warp: 62.8 lbs / Weft: 38.4 lbs,Warp: 212.9 lbs / Weft: 250.2 lbs,Grade: 4.5,Grade: 5,"Hours: 2,200 / Grade: 4","UFAC Class 1 CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
United Fabrics,PLAY,Teak 40616-0012,United Fabrics PLAY Teak 40616-0012,"Brown upholstery fabric, brown","United Fabrics, PLAY, Teak 40616-0012, United Fabrics PLAY Teak 40616-0012, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.400% Sunbrella Acrylic 1.600% Sunbrella Polyester, , , USA, 90,000 Double Rubs, ","United Fabrics, PLAY, Teak 40616-0012, United Fabrics PLAY Teak 40616-0012, Brown upholstery fabric, brown, Upholstery, Indoor/Outdoor, 98.400% Sunbrella Acrylic 1.600% Sunbrella Polyester, , , USA, 90,000 Double Rubs, ",14.96,29.92,34.41,37 Yards (NJ) 0 Yards (CA),,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-play2-current-camera.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-play2-current-camera.jpg,https://unitedfabrics.s3.amazonaws.com/files/products/square-med-play2-current-camera.jpg,"Upholstery, Indoor/Outdoor",98.400% Sunbrella Acrylic 1.600% Sunbrella Polyester,,,11.7 oz./yd.,"54.000""",Up the Roll,USA,,,,"90,000 Double Rubs",Class 5,Warp: 62.8 lbs / Weft: 38.4 lbs,Warp: 212.9 lbs / Weft: 250.2 lbs,Grade: 4.5,Grade: 5,"Hours: 2,200 / Grade: 4","UFAC Class 1 CA Technical Bulletin 117-2013 NFPA 260 ""Flammability"" and any corresponding data refer to the typical performance in the tests indicated and should not be construed to imply the behavior of this or any other material under actual fire conditions.",Prop 65 Compliant California AB-2998 Compliant PFAS Free
